Text,Label,Cluster,Predicted Sentiment,Real Sentiment
would like june nineteenth hurry self waiting impatiently see wes carr,2,Cluster 1,Negative,Neutral
sometimes hate thats normal dont worry bout,2,Cluster 1,Negative,Positive
crow morning,2,Cluster 1,Negative,Neutral
youre welcome,2,Cluster 1,Negative,Positive
thanks,2,Cluster 1,Negative,Positive
dog doggy park,2,Cluster 1,Negative,Neutral
nice capture,2,Cluster 1,Negative,Positive
yaaaawwwwnnnn thx bank holiday lets see today prepared us,2,Cluster 1,Negative,Positive
lol thanx,2,Cluster 1,Negative,Positive
youve ever seen way uses browser probably like copies running httpbitlydoeej,2,Cluster 1,Negative,Neutral
next song axed ombra mai f largo hndel,2,Cluster 1,Negative,Neutral
damp weather,2,Cluster 1,Negative,Neutral
cba ohwell might play another innabit,2,Cluster 1,Negative,Neutral
cool httpyfrogcomdfj,2,Cluster 1,Negative,Positive
good morning tweeps monday got way soon hope good one least good get monday,2,Cluster 1,Negative,Positive
aries person something common lol jk,2,Cluster 1,Negative,Positive
youre flying nz wwwhotconz great way get results aggregate,2,Cluster 1,Negative,Neutral
toast morning,2,Cluster 1,Negative,Neutral
really sucks feel bad least woke eight,2,Cluster 1,Negative,Negative
hahaooh gorgeous whole weekend follow ouchi blisters shoes yesterday,2,Cluster 1,Negative,Neutral
played mythic brawl order get good screenshot instead got perfection,2,Cluster 1,Negative,Positive
wan na go car,2,Cluster 1,Negative,Neutral
thank yoou twittertakeover,2,Cluster 1,Negative,Positive
band work need laptop buy one ill drive shifts forever,2,Cluster 1,Negative,Neutral
thanx thee follow,2,Cluster 1,Negative,Neutral
highnesscrystalmariedontluvspiteanymore,2,Cluster 1,Negative,Neutral
thanks people added skype want add name twitter name yt name blogtv etc,2,Cluster 1,Negative,Neutral
wasssup cocoliciousness knew u didnt recognize hows ur daughter,2,Cluster 1,Negative,Neutral
month daughters seperation anxiety intense killing cant leave sight without breaking anxiety attack,2,Cluster 1,Negative,Positive
yeah know mwan,2,Cluster 1,Negative,Positive
gmail,2,Cluster 1,Negative,Neutral
fml dad didnt leave moneyz wait till gets home call finish work,2,Cluster 1,Negative,Neutral
humira isnt right everyone respond better enbrel ask rheumy much longterm testing done,2,Cluster 1,Negative,Neutral
nothing yet,2,Cluster 1,Negative,Neutral
officially apt learned stuff crazy neighbors used live across hallscary,2,Cluster 1,Negative,Neutral
c ive sorted operating system apps seperate gb drive,2,Cluster 1,Negative,Neutral
gone estimation,2,Cluster 1,Negative,Neutral
dude miss btw name mix damn man save hahaha,2,Cluster 1,Negative,Positive
shame body waste,2,Cluster 1,Negative,Negative
loooong weekend inlawing,2,Cluster 1,Negative,Neutral
didnt realize young advanced happy birthday stefan mtfbwy always,2,Cluster 1,Negative,Neutral
sitting watching britains got f talent watched small girl cry sad,2,Cluster 1,Negative,Positive
oh oprah jumped front,2,Cluster 1,Negative,Neutral
sleeping sleeping know kids,2,Cluster 1,Negative,Neutral
cause give reason assume httptweetsg,2,Cluster 1,Negative,Neutral
thank much nice happy hear voice youve really started something good xo,2,Cluster 1,Negative,Positive
make sure word poo balls underbelly suck balls gave wk,2,Cluster 1,Negative,Neutral
ooh good thank heads bro,2,Cluster 1,Negative,Positive
agree crazy worth block let twitter police know harrassment,2,Cluster 1,Negative,Positive
needs job badly,2,Cluster 1,Negative,Negative
wow difficult,2,Cluster 1,Negative,Positive
think studying really started taking toll,2,Cluster 1,Negative,Neutral
couple hours agoive got sun burn really uncomfortable,2,Cluster 1,Negative,Neutral
missing baby ducks,2,Cluster 1,Negative,Negative
hours refusal upon realisation tomorrows morrissey gig brixton postponed looking fwd monthsish,2,Cluster 1,Negative,Neutral
hate dryer,2,Cluster 1,Negative,Negative
lambert fans outside us wish could vote adam,2,Cluster 1,Negative,Neutral
slowly gettin followers vry slowly,2,Cluster 1,Negative,Neutral
really gone chiropractor week today neck hurts bad,2,Cluster 1,Negative,Negative
excited camp loads people arent thrilled fact get sleep tents roll around mud,2,Cluster 1,Negative,Neutral
yep one nights,2,Cluster 1,Negative,Positive
even though everyone wanted newish song teacher agreed old grumpy doesnt like us happy haha,2,Cluster 1,Negative,Neutral
wish well past hour bed proper migraine,2,Cluster 1,Negative,Neutral
teardrops,2,Cluster 1,Negative,Neutral
time germany went fast days left hopefully move soon,2,Cluster 1,Negative,Neutral
done run km hmn bpm feeling great fatigue speed,2,Cluster 1,Negative,Positive
wan na go vivid light walk,2,Cluster 1,Negative,Neutral
rewarding dinner american dream pizza rooftop terrace perfection got pages done prospectus,2,Cluster 1,Negative,Positive
seriously neeed study,2,Cluster 1,Negative,Neutral
wish could go hear mint condition tommorow night,2,Cluster 1,Negative,Neutral
feeling good win nice softball champs bring season,2,Cluster 1,Negative,Positive
good morning driving work,2,Cluster 1,Negative,Neutral
wow really need fun tonight,2,Cluster 1,Negative,Positive
found one knows using twitter,2,Cluster 1,Negative,Neutral
dee mack talking baby shes almost grown,2,Cluster 1,Negative,Neutral
soupysoup time today heinz cream chicken mushroom yum bbl,2,Cluster 1,Negative,Neutral
boo didnt answer text,2,Cluster 1,Negative,Neutral
peeps boyfriend miami,2,Cluster 1,Negative,Neutral
leaving get angry teethed pulled,2,Cluster 1,Negative,Neutral
pearlman mow love mow,2,Cluster 1,Negative,Positive
harry baked love cassie youre online,2,Cluster 1,Negative,Neutral
need go shopping youbut need save money,2,Cluster 1,Negative,Neutral
always seem know exactly right thing say thanks httpilikeucozcomm youregreat,2,Cluster 1,Negative,Neutral
saturday night live minutes jimmy still,2,Cluster 1,Negative,Neutral
make sure call yur mother tell much love tell love bringin world,2,Cluster 1,Negative,Positive
twpp still nw trending topics,2,Cluster 1,Negative,Neutral
recorded new song today u wont hear long time thooo might play shows tho comeeeeee,2,Cluster 1,Negative,Neutral
ew used get suicides mid school mix like sodas together drink think remember enjoying,2,Cluster 1,Negative,Neutral
fun show tonight wish could,2,Cluster 1,Negative,Positive
go near hive theyll tame,2,Cluster 1,Negative,Neutral
know love nicholas braun think hell make okay cameron dont wan na see either,2,Cluster 1,Negative,Neutral
lucky cant see tonight,2,Cluster 1,Negative,Neutral
emily wish hear,2,Cluster 1,Negative,Positive
three hated words see monday,2,Cluster 1,Negative,Negative
hope itll go quickly possible,2,Cluster 1,Negative,Neutral
much pain really dont feel good couldnt eat dinner,2,Cluster 1,Negative,Neutral
youre rightim ive heard song time two,2,Cluster 1,Negative,Neutral
people cruel sometimes cant imagine star,2,Cluster 1,Negative,Neutral
whoa sack chasing whores soo character say bring back sweet superman,2,Cluster 1,Negative,Neutral
logically yes find one though always seem see beside motorways cant stop,2,Cluster 1,Negative,Neutral
tweet,2,Cluster 1,Negative,Neutral
sick home bored want get better already enjoy college grad,2,Cluster 1,Negative,Positive
philippines tour please please please,2,Cluster 1,Negative,Positive
symphonic,2,Cluster 1,Negative,Neutral
ahh yay youre gon na get,2,Cluster 1,Negative,Neutral
much food todays company gill want go home lay sun instead dark probably,2,Cluster 1,Negative,Neutral
awww didnt see till edwin left knew wanted forsure tomorrow ill make u new batch,2,Cluster 1,Negative,Neutral
kinda headache,2,Cluster 1,Negative,Neutral
awethank jon,2,Cluster 1,Negative,Neutral
id love work httpmyspacecominikco tell ur friends follow,2,Cluster 1,Negative,Positive
todays line work os bluetooth app brief stint uniservity get time cs tutorials busy bank holiday,2,Cluster 1,Negative,Neutral
omg watching hollie steels crying painful bgt,2,Cluster 1,Negative,Negative
made coffee cake mom,2,Cluster 1,Negative,Neutral
sucks prints sorry,2,Cluster 1,Negative,Negative
sunny outside one go play,2,Cluster 1,Negative,Positive
achieving new appreciation xml build script really painful cumbersome,2,Cluster 1,Negative,Neutral
finished cleaning desk least office looking empty almost time car fb,2,Cluster 1,Negative,Neutral
weather sucks raining,2,Cluster 1,Negative,Negative
work soonnnnnn looking rly dead today,2,Cluster 1,Negative,Neutral
dude youre haxr put final cut pro tell stable,2,Cluster 1,Negative,Neutral
vogue model miss rachel merh,2,Cluster 1,Negative,Neutral
got ta sleep work,2,Cluster 1,Negative,Neutral
trent reznor liddle beotch doesnt get way could title,2,Cluster 1,Negative,Neutral
wow person u,2,Cluster 1,Negative,Positive
miss peanut gallery,2,Cluster 1,Negative,Neutral
watching aliens boobie craig rise house early bedtime grown ups,2,Cluster 1,Negative,Neutral
clicked check pictures angelina went spam site ordering checks go figure,2,Cluster 1,Negative,Neutral
blake sea water sandbox la cordova cant rez objects autoreturn mins,2,Cluster 1,Negative,Neutral
feel slightly sick bgt,2,Cluster 1,Negative,Negative
okay man hook hand kinda freaking right,2,Cluster 1,Negative,Positive
miss mojokins go long enough comment weekend,2,Cluster 1,Negative,Neutral
lebron maybe mvp year like lakers win nba title,2,Cluster 1,Negative,Neutral
cant really anything,2,Cluster 1,Negative,Neutral
sigh sad lonely profession,2,Cluster 1,Negative,Negative
congrats youre first person ive heardread say today,2,Cluster 1,Negative,Neutral
cherry italian ice fave want get local ritas twitter theyll send daily flavors,2,Cluster 1,Negative,Neutral
cute kitty,2,Cluster 1,Negative,Positive
heyya guys anyone know give formulas create sudoku please help,2,Cluster 1,Negative,Positive
pretty good actually lame episodes otherwise good give try,2,Cluster 1,Negative,Positive
watchin family guy,2,Cluster 1,Negative,Neutral
oh fair thats hours,2,Cluster 1,Negative,Neutral
anytime loveyou looked beautiful next time nyc hopefully link enjoy evening,2,Cluster 1,Negative,Positive
turn back time make didnt hurt knee bad come mine never ignored,2,Cluster 1,Negative,Neutral
go shower ffaf distraaaaacting,2,Cluster 1,Negative,Neutral
ah nice back bike commute although three days google sez called quadriceps literally screaming gah,2,Cluster 1,Negative,Neutral
want woosoo like plz gant wait knowing shes close driveing nutts,2,Cluster 1,Negative,Neutral
aww noooo doesnt sound great,2,Cluster 1,Negative,Neutral
early morning rb httpblipfmjimj,2,Cluster 1,Negative,Neutral
one twitter driving although iphone keypad sucks driving typing,2,Cluster 1,Negative,Neutral
doesnt need darn watching language thing never stops mapped u u live boonies,2,Cluster 1,Negative,Neutral
missing much work cant spend time get paid lol,2,Cluster 1,Negative,Neutral
lol gross theyre gross,2,Cluster 1,Negative,Negative
radio,2,Cluster 1,Negative,Neutral
tummy hurts,2,Cluster 1,Negative,Negative
makes sense greatfirewallofchinaorg site test whether site blocked china blocked china get others,2,Cluster 1,Negative,Neutral
follow friday following people followers follow woot followfriday,2,Cluster 1,Negative,Neutral
thats helpful least know youve got place secured already things dont pan fingers crossed,2,Cluster 1,Negative,Neutral
u kk thanks,2,Cluster 1,Negative,Positive
aww thats cute,2,Cluster 1,Negative,Positive
hi teach chinese lessons youtube feel free look wwwyoutubecomchineselearn,2,Cluster 1,Negative,Neutral
recording acoustic track sexy kids,2,Cluster 1,Negative,Neutral
pee,2,Cluster 1,Negative,Neutral
wow nowyour really kickin careys butt competition see soon,2,Cluster 1,Negative,Neutral
oh dear hope feeling better soon get nice hot chicken soup,2,Cluster 1,Negative,Positive
know loads others left,2,Cluster 1,Negative,Neutral
morning,2,Cluster 1,Negative,Neutral
twitters seat exam hall starts mins pray seat mpsha blessed oh wisdom flow whee,2,Cluster 1,Negative,Neutral
gorgeous day hash around waterley bottom wonderful name village quiz mistressing porto evening,2,Cluster 1,Negative,Neutral
welcome glasgow felix sorry cant tonight,2,Cluster 1,Negative,Positive
thats thinking time gon na,2,Cluster 1,Negative,Neutral
since travel quite often use online travel sites would love feedback ixigocom,2,Cluster 1,Negative,Neutral
good stuff smiles back wont go concert wish could instead working music failing lol x,2,Cluster 1,Negative,Positive
fault didnt make u leave,2,Cluster 1,Negative,Positive
tgif resto home dayuummm expensive,2,Cluster 1,Negative,Neutral
seriously want pug buy one,2,Cluster 1,Negative,Neutral
played ball park coached youngster fundamentals goin home steak lobster word,2,Cluster 1,Negative,Neutral
must time month watering eyes httptinyurlcomcuwjb speciaal voor zo vind ik ze wl leuk,2,Cluster 1,Negative,Neutral
x butbutbuttt replied loads,2,Cluster 1,Negative,Neutral
riding daddys bike yes mans bike convenient dark without glasses scared survived haha,2,Cluster 1,Negative,Positive
upset mom hospital,2,Cluster 1,Negative,Negative
new kirk thats new kirk,2,Cluster 1,Negative,Neutral
miss nipissing pitas good thing weve got euphoria barrie cause would never survive summer without pitas smoothies,2,Cluster 1,Negative,Neutral
heyyyyy us english fans want signings,2,Cluster 1,Negative,Neutral
love friends drew fun tonight,2,Cluster 1,Negative,Positive
annoying gear ill take hands,2,Cluster 1,Negative,Negative
